,Missing States
0,Wyoming
1,Georgia
2,Alaska
3,Arkansas
4,Illinois
5,New Jersey
6,Rhode Island
7,Florida
8,Maine
9,Arizona
10,Ohio
11,New Hampshire
12,Nebraska
13,Alabama
14,Indiana
15,Utah
16,Idaho
17,Iowa
18,Montana
19,Mississippi
20,West Virginia
21,Pennsylvania
22,Vermont
23,Wisconsin
24,North Dakota
25,Connecticut
26,Michigan
27,Virginia
28,Delaware
29,Massachusetts
30,Kansas
31,Oregon
32,South Dakota
33,California
34,South Carolina
35,North Carolina
36,Missouri
37,New Mexico
38,Minnesota
39,Washington
40,Tennessee
41,Oklahoma
42,Maryland
43,Kentucky
44,Nevada
